stock,timestamp,open,high,low,close,volume
COALINDIA,2015-01-30,383.0000,400.0000,356.0000,360.8500,65276005
COALINDIA,2014-12-31,355.0000,393.3500,348.8000,383.8500,60936711
COALINDIA,2014-11-28,372.0000,375.0000,339.1000,355.0000,54199361
COALINDIA,2014-10-31,341.8000,371.9500,331.3500,370.5500,47066097
COALINDIA,2014-09-30,357.5000,384.9000,333.1500,341.3500,77616130
COALINDIA,2014-08-28,364.0000,373.4500,347.1000,356.1000,49002698
COALINDIA,2014-07-31,388.7000,401.7000,352.2000,367.7000,95089813
COALINDIA,2014-06-30,370.9000,423.7000,366.6000,384.9500,115938894
COALINDIA,2014-05-30,292.0000,416.8000,292.0000,370.9000,139679222
COALINDIA,2014-04-30,289.5000,304.3500,275.0500,291.8500,61621421
COALINDIA,2014-03-31,244.0500,292.0000,0.0000,288.7500,60717346
COALINDIA,2014-02-28,246.0000,271.2000,240.3000,244.0000,49816312
COALINDIA,2014-01-31,294.7000,307.8500,244.4000,247.4500,110761598
COALINDIA,2013-12-31,269.0000,298.9000,268.0000,290.0000,63081338
COALINDIA,2013-11-29,286.5000,301.5000,260.9500,271.9500,44381901
COALINDIA,2013-10-31,295.0000,314.8000,275.0000,287.9500,47340789
COALINDIA,2013-09-30,253.8000,309.0000,252.7000,294.4500,54914239
COALINDIA,2013-08-30,280.0000,286.0000,238.2000,251.4000,49632975
COALINDIA,2013-07-31,303.9000,308.0000,270.0000,281.5500,46165446
COALINDIA,2013-06-28,325.2500,330.7000,285.2000,302.5500,58110148
COALINDIA,2013-05-31,321.0000,329.5000,294.0500,324.7000,61022552
COALINDIA,2013-04-30,309.1000,324.3000,292.0000,319.2000,44012099
COALINDIA,2013-03-28,310.4000,327.5000,291.0000,309.1000,41991656
COALINDIA,2013-02-28,352.2500,359.1000,305.1000,309.8000,45625508
COALINDIA,2013-01-31,356.0500,372.4000,337.0000,353.3500,41437939
COALINDIA,2012-12-31,366.3000,374.8500,348.7000,354.8000,38381378
COALINDIA,2012-11-30,345.5000,373.5000,0.0000,366.5500,37803176
COALINDIA,2012-10-31,360.0000,370.2000,289.4000,346.3000,28765761
COALINDIA,2012-09-28,352.4000,386.2500,0.0000,358.9500,41440665
COALINDIA,2012-08-31,357.0000,371.7500,335.0500,351.4500,43588732
COALINDIA,2012-07-31,348.0000,363.6000,344.7500,359.3500,30656637
COALINDIA,2012-06-29,321.6000,354.0000,314.8000,346.8000,33938841
COALINDIA,2012-05-31,353.5500,355.4500,301.1000,321.6000,47783095
COALINDIA,2012-04-30,340.0000,367.4500,328.5000,352.3500,38964706
